Словоформа,Частота_ipm,Капитализация
Африке,9.1,upper
Африки,9.0,upper
Ах,71.4,upper
ах,10.9,lower
Ахматова,13.2,upper
Ахматовой,16.9,upper
Ашхен,5.4,upper
аэродром,5.5,lower
аэропорт,8.5,lower
аэропорта,9.2,lower
аэропорту,12.7,lower
б,111.0,lower
Б,106.8,upper
баб,8.5,lower
баба,23.6,lower
Баба,6.0,upper
бабка,14.9,lower
Бабка,5.4,upper
бабки,10.7,lower
бабу,7.0,lower
бабушка,42.7,lower
Бабушка,12.8,upper
бабушке,8.7,lower
бабушки,16.7,lower
бабушкой,7.4,lower
бабушку,7.8,lower
бабы,17.9,lower
багаж,5.1,lower
баз,8.2,lower
база,17.3,lower
базар,8.5,lower
базаре,6.9,lower
базе,42.8,lower
базовых,6.1,lower
базой,6.9,lower
базу,20.0,lower
базы,42.7,lower
баксов,7.8,lower
Баку,13.2,upper
бал,5.7,lower
баланс,10.0,lower
баланса,10.0,lower
балет,6.7,lower
балета,7.4,lower
балкон,8.9,lower
балкона,6.2,lower
балконе,6.1,lower
баллов,5.9,lower
бандит,6.1,lower
бандитов,11.0,lower
бандиты,10.0,lower
бане,9.1,lower
бани,7.9,lower
банк,34.1,lower
Банк,7.3,upper
банка,46.8,lower
Банка,5.5,upper
банками,5.9,lower
банках,8.7,lower
банке,17.2,lower
банки,31.2,lower
банков,24.9,lower
банковских,7.0,lower
банковского,6.4,lower
банковской,7.9,lower
банком,7.7,lower
банкротства,6.8,lower
банкротстве,9.4,lower
банку,19.6,lower
банок,5.2,lower
баню,10.4,lower
баня,5.2,lower
бар,7.9,lower
бара,5.6,lower
барак,5.9,lower
баре,6.0,lower
барон,10.4,lower
Барон,5.4,upper
барьер,7.7,lower
бассейн,10.1,lower
бассейна,8.5,lower
бассейне,5.5,lower
батальон,6.1,lower
батальона,9.8,lower
батареи,10.5,lower
батюшка,8.5,lower
башни,12.1,lower
башню,5.5,lower
башня,5.8,lower
бег,6.1,lower
бега,5.3,lower
бегает,6.5,lower
бегал,10.6,lower
бегала,5.7,lower
бегали,8.1,lower
бегать,12.1,lower
бегают,5.9,lower
бегом,10.6,lower
бегу,10.7,lower
бегут,10.2,lower
бед,6.5,lower
беда,31.1,lower
Беда,6.9,upper
беде,5.9,lower
бедная,7.2,lower
бедного,5.5,lower
бедной,5.7,lower
бедности,9.3,lower
бедность,5.7,lower
бедные,6.8,lower
бедный,10.9,lower
Бедный,8.0,upper
бедных,10.1,lower
бедра,8.9,lower
беду,8.7,lower
беды,15.6,lower
бежал,21.2,lower
бежала,8.9,lower
бежали,15.0,lower
бежать,29.6,lower
беженцев,8.7,lower
бежит,18.8,lower
без,949.8,lower
Без,68.3,upper
безжалостно,6.7,lower
беззвучно,9.1,lower
безнадежно,13.0,lower
безо,9.5,lower
безопасности,108.9,lower
Безопасности,6.7,upper
безопасность,17.9,lower
безошибочно,6.2,lower
безработицы,5.1,lower
безразлично,9.0,lower
безумие,5.7,lower
безумно,10.3,lower
безусловно,34.5,lower
Безусловно,12.2,upper
безуспешно,6.4,lower
белая,19.7,lower
Белая,5.5,upper
белка,13.5,lower
белки,8.2,lower
белков,10.9,lower
белого,21.7,lower
Белого,11.8,upper
белое,13.5,lower
белой,35.7,lower
белок,7.0,lower
белом,23.4,lower
Белоруссии,14.6,upper
Белосельцев,6.4,upper
белую,13.2,lower
белые,43.1,lower
Белые,6.3,upper
белый,36.9,lower
Белый,15.6,upper
белым,18.9,lower
белыми,18.6,lower
белых,37.1,lower
белье,18.9,lower
белья,8.7,lower
бензин,7.8,lower
бензина,6.3,lower
берег,36.6,lower
берега,34.6,lower
берегам,5.3,lower
берегах,5.3,lower
берегов,9.0,lower
берегу,68.9,lower
бережно,13.8,lower
Березовский,8.8,upper
Березовского,7.3,upper
березы,7.5,lower
берем,5.5,lower
беременности,9.8,lower
берет,36.0,lower
берется,8.2,lower
беречь,6.4,lower
бери,10.6,lower
Бери,6.2,upper
Берии,5.3,upper
Берия,11.1,upper
Берлин,10.5,upper
Берлина,8.2,upper
Берлине,11.5,upper
беру,11.1,lower
берут,21.6,lower
берутся,5.6,lower
бесед,7.4,lower
беседа,11.0,lower
беседе,12.3,lower
беседовал,7.0,lower
беседовали,6.7,lower
беседу,15.2,lower
беседы,27.9,lower
бесконечно,23.2,lower
бесконечной,5.5,lower
бесконечности,6.9,lower
бесконечные,8.9,lower
бесконечных,5.2,lower
бесплатно,23.1,lower
беспокоит,7.5,lower
беспокоиться,6.8,lower
беспокойство,9.5,lower
бесполезно,12.6,lower
беспомощно,7.3,lower
беспощадно,5.3,lower
беспрерывно,5.9,lower
бесследно,6.9,lower
бессмысленно,14.7,lower
бесспорно,5.6,lower
бесшумно,10.0,lower
бешено,5.4,lower
бешенства,5.1,lower
Библии,6.6,upper
библиотека,8.0,lower
библиотеке,11.8,lower
библиотеки,14.2,lower
библиотеку,9.6,lower
бизнес,45.2,lower
бизнеса,56.0,lower
бизнесе,10.9,lower
бизнесмен,6.6,lower
бизнесменов,6.7,lower
бизнесмены,6.3,lower
бизнесом,11.5,lower
бизнесу,7.4,lower
бил,15.0,lower
била,5.3,lower
билет,27.7,lower
билета,7.3,lower
билетов,8.1,lower
билеты,20.4,lower
били,14.9,lower
Бим,9.4,upper
бинокль,7.0,lower
биографии,13.9,lower
биологии,10.7,lower
биологических,7.0,lower
битвы,7.5,lower
бить,20.7,lower
биться,5.4,lower
бишь,6.4,lower
благ,7.2,lower
блага,8.5,lower
благо,22.6,lower
благодарен,8.8,lower
благодарности,11.5,lower
благодарность,14.1,lower
благодарностью,6.9,lower
Благодарю,7.1,upper
благодаря,74.4,lower
Благодаря,20.9,upper
благодать,6.1,lower
благополучие,5.4,lower
благополучия,7.8,lower
благополучно,19.3,lower
благородный,5.9,lower
благосостояния,5.4,lower
бледный,7.4,lower
блеск,10.6,lower
блеска,7.3,lower
блеском,7.5,lower
блестели,5.9,lower
блестяще,8.1,lower
блестящие,6.8,lower
блестящий,6.2,lower
ближайшего,8.5,lower
ближайшее,25.5,lower
ближайшей,6.5,lower
ближайшем,9.9,lower
ближайшие,22.7,lower
ближайший,7.4,lower
ближайших,10.8,lower
ближе,62.0,lower
Ближе,5.1,upper
ближнего,9.2,lower
Ближнем,5.2,upper
близ,10.2,lower
близка,7.7,lower
близки,9.9,lower
близкие,15.9,lower
близкий,10.5,lower
близким,12.5,lower
близкими,8.1,lower
близких,28.5,lower
близко,46.5,lower
близкого,9.5,lower
близкое,5.2,lower
близкой,7.3,lower
близок,12.1,lower
близости,14.8,lower
близость,9.1,lower
блин,12.9,lower
блок,15.6,lower
Блок,9.7,upper
блока,13.6,lower
Блока,8.9,upper
блоки,5.9,lower
блокнот,6.6,lower
блоков,7.7,lower
блондинка,5.3,lower
блюд,5.4,lower
блюда,9.0,lower
блюдо,10.0,lower
БМВ,5.5,upper
Бог,113.3,upper
бог,37.7,lower
Бога,72.8,upper
бога,17.2,lower
богатого,5.0,lower
богатой,7.0,lower
богатства,11.2,lower
богатство,13.5,lower
богатые,8.8,lower
богатый,11.1,lower
богатым,7.1,lower
богатых,12.5,lower
богаче,5.5,lower
Боге,8.4,upper
боги,6.6,lower
богов,8.8,lower
Богом,32.6,upper
богом,5.7,lower
Богу,56.8,upper
богу,20.7,lower
бодро,12.0,lower
боев,6.2,lower
боевая,5.0,lower
боевики,6.8,lower
боевиков,13.8,lower
боевого,14.1,lower
боевое,5.2,lower
боевой,36.0,lower
боевую,5.7,lower
боевые,15.4,lower
боевым,5.4,lower
боевых,35.8,lower
боем,5.7,lower
боеприпасов,6.4,lower
боец,7.3,lower
Боже,34.4,upper
боже,7.5,lower
Божественной,6.0,upper
Божие,9.1,upper
Божией,16.0,upper
Божиим,5.2,upper
Божий,15.3,upper
Божию,6.0,upper
Божия,15.6,upper
бои,7.9,lower
боитесь,6.1,lower
боится,28.0,lower
боишься,8.4,lower
бой,31.3,lower
бойся,12.1,lower
бойтесь,6.0,lower
бойца,5.9,lower
бойцов,10.4,lower
бойцы,8.3,lower
бок,25.9,lower
бока,6.3,lower
бокал,11.1,lower
бокам,8.2,lower
боковой,6.1,lower
боковые,5.7,lower
боковых,5.3,lower
боком,14.5,lower
боку,13.0,lower
Болгарии,7.7,upper
более,833.0,lower
Более,62.2,upper
более-менее,5.2,lower
болезней,12.3,lower
болезненно,8.8,lower
болезни,47.8,lower
болезнь,29.2,lower
болезнью,8.8,lower
болел,8.2,lower
болела,8.2,lower
болельщиков,5.1,lower
болен,11.3,lower
болеть,7.0,lower
боли,44.8,lower
болит,17.9,lower
болота,6.1,lower
болото,6.3,lower
боль,47.2,lower
больная,6.7,lower
больнице,30.5,lower
больницу,28.5,lower
больницы,23.6,lower
больно,50.9,lower
Больно,5.1,upper
больного,22.1,lower
больной,27.2,lower
больному,5.9,lower
больные,12.6,lower
больным,10.4,lower
больных,42.2,lower
большая,80.4,lower
Большая,17.7,upper
больше,685.6,lower
Больше,50.4,upper
большевики,8.8,lower
большевиков,9.9,lower
большего,12.4,lower
большее,21.6,lower
большей,47.5,lower
большие,79.2,lower
Большие,6.8,upper
больший,7.1,lower
большим,74.8,lower
большими,26.1,lower
большинства,36.5,lower
большинстве,31.4,lower
большинство,70.6,lower
Большинство,22.9,upper
большинством,7.0,lower
большинству,6.7,lower
больших,57.5,lower
большого,52.4,lower
Большого,19.3,upper
большое,63.3,lower
Большое,11.2,upper
большой,200.9,lower
Большой,38.4,upper
большом,23.9,lower
Большом,10.0,upper
большому,15.4,lower
большую,68.0,lower
Большую,7.2,upper
болью,13.6,lower
бомба,6.5,lower
бомбу,5.3,lower
бомбы,12.2,lower
борется,5.8,lower
Борис,98.3,upper
Бориса,36.7,upper
Борисов,9.0,upper
Борисович,12.8,upper
Борисовна,8.9,upper
Борисом,8.6,upper
Борису,8.8,upper
бормотал,9.5,lower
борода,5.4,lower
бородой,8.4,lower
бороду,7.4,lower
боролись,6.6,lower
боролся,6.9,lower
бороться,31.0,lower
борт,15.9,lower
борта,8.8,lower
борту,14.0,lower
борьба,36.0,lower
Борьба,7.1,upper
борьбе,52.8,lower
борьбой,6.7,lower
борьбу,24.9,lower
борьбы,62.0,lower
борются,5.0,lower
Боря,14.9,upper
босиком,6.9,lower
ботинках,5.2,lower
ботинки,17.5,lower
ботинок,7.6,lower
бочки,7.3,lower
бочку,6.3,lower
бою,20.1,lower
боюсь,39.4,lower
Боюсь,12.6,upper
боя,28.5,lower
боялась,20.6,lower
боялись,16.4,lower
боялся,39.1,lower
боясь,17.6,lower
боятся,18.8,lower
бояться,22.5,lower
боях,6.8,lower
Бразилии,6.2,upper
брак,19.3,lower
брака,16.6,lower
браке,8.3,lower
брал,24.1,lower
брала,9.9,lower
брали,19.5,lower
брат,66.9,lower
Брат,8.4,upper
брата,41.4,lower
братом,13.9,lower
брату,11.1,lower
братцы,5.8,lower
брать,46.9,lower
братьев,18.8,lower
братья,21.2,lower
Братья,5.4,upper
братьями,5.5,lower
бревна,6.3,lower
бревно,5.3,lower
бред,11.9,lower
Брежнев,9.8,upper
Брежнева,8.0,upper
брезгливо,7.8,lower
бремя,6.2,lower
бригада,9.9,lower
бригаде,5.0,lower
бригадир,7.7,lower
бригаду,6.2,lower
бригады,17.1,lower
бровей,5.8,lower
брови,21.7,lower
бровями,5.4,lower
бродил,7.2,lower
бродили,6.2,lower
Бродский,7.0,upper
Бродского,6.6,upper
бросает,9.7,lower
бросается,7.9,lower
бросал,6.4,lower
бросали,6.4,lower
бросать,9.1,lower
бросив,6.5,lower
бросил,51.3,lower
бросила,16.6,lower
бросилась,13.2,lower
бросили,11.0,lower
бросились,10.5,lower
бросился,24.1,lower
бросить,20.6,lower
брось,6.1,lower
Брось,5.5,upper
Бруно,8.3,upper
брюк,6.1,lower
брюках,7.7,lower
брюки,20.4,lower
брюхо,5.2,lower
будем,136.3,lower
Будем,20.0,upper
будет,1072.5,lower
Будет,22.1,upper
будете,47.2,lower
будешь,66.4,lower
Будешь,7.8,upper
будить,5.0,lower
будки,5.1,lower
будто,324.2,lower
Будто,18.6,upper
буду,172.9,lower
Буду,10.8,upper
будут,325.7,lower
Будут,7.7,upper
будучи,39.5,lower
Будучи,11.0,upper
будущего,48.1,lower
будущее,54.9,lower
будущей,17.2,lower
будущем,50.7,lower
будущему,5.9,lower
будущие,7.5,lower
будущий,14.8,lower
будущим,9.4,lower
будущих,17.8,lower
будь,45.8,lower
Будь,16.8,upper
будьте,10.3,lower
Будьте,8.4,upper
букв,7.3,lower
буква,5.4,lower
буквально,66.8,lower
Буквально,6.3,upper
буквальном,5.9,lower
буквами,11.5,lower
букву,7.1,lower
буквы,22.4,lower
букет,10.1,lower
Булгаков,5.9,upper
Булгакова,6.9,upper
Буль-Буль,7.0,upper
бульваре,7.2,lower
бульон,5.5,lower
бумаг,22.3,lower
бумага,9.9,lower
бумагами,6.6,lower
бумаге,17.8,lower
бумаги,62.0,lower
бумагой,6.0,lower
бумагу,21.8,lower
бумажки,10.6,lower
бумажку,12.0,lower
Бунин,7.9,upper
Бунина,6.3,upper
бунт,5.3,lower
Бурденко,5.4,upper
бури,5.5,lower
буркнул,10.6,lower
бурно,8.3,lower
Бусыгин,5.6,upper
бутылка,12.1,lower
бутылки,27.8,lower
бутылкой,8.6,lower
бутылку,44.2,lower
бутылок,9.8,lower
буфет,7.1,lower
буфете,5.9,lower
бухгалтер,6.0,lower
Буш,7.9,upper
Буша,7.4,upper
бы,2326.9,lower
бывает,136.8,lower
Бывает,13.9,upper
бывал,23.2,lower
бывала,6.1,lower
бывали,14.4,lower
бывало,42.0,lower
Бывало,6.8,upper
бывать,8.6,lower
бывают,40.8,lower
Бывают,6.5,upper
бывшая,8.9,lower
бывшего,37.7,lower
бывшей,17.0,lower
бывшем,5.0,lower
бывшему,5.1,lower
бывшие,14.9,lower
бывший,47.4,lower
Бывший,7.3,upper
бывшим,8.6,lower
бывших,22.9,lower
быка,6.1,lower
был,2049.1,lower
Был,62.8,upper
была,1215.6,lower
Была,33.5,upper
были,1148.2,lower
Были,38.6,upper
было,2797.3,lower
Было,80.6,upper
быстрее,42.9,lower
быстрей,5.8,lower
быстренько,8.4,lower
быстро,239.2,lower
Быстро,12.5,upper
быстрого,9.3,lower
быстрой,6.4,lower
быстрые,5.0,lower
быстрый,8.3,lower
быстрым,7.4,lower
быт,9.6,lower
быта,11.4,lower
бытие,8.5,lower
бытия,24.7,lower
бытовой,7.2,lower
бытовых,6.3,lower
быту,6.4,lower
быть,1200.5,lower
Быть,17.9,upper
бьет,13.9,lower
бьется,6.0,lower
бьют,12.0,lower
бюджет,33.7,lower
бюджета,50.3,lower
бюджете,11.2,lower
бюджетного,6.4,lower
бюджетной,7.2,lower
бюджетные,6.0,lower
бюджетных,12.8,lower
бюджетов,9.2,lower
бюджеты,6.4,lower
бюро,25.3,lower
Бюро,5.0,upper
в,27950.8,lower
В,3904.4,upper
вагон,17.1,lower
вагона,15.1,lower
вагоне,11.6,lower
вагонов,9.9,lower
вагоны,6.5,lower
Вадим,24.9,upper
Вадима,9.5,upper
важен,10.2,lower
важна,10.1,lower
важная,10.2,lower
важнее,18.7,lower
важнейшим,5.0,lower
важнейших,14.2,lower
важно,95.0,lower
Важно,16.5,upper
важного,7.3,lower
важное,30.2,lower
важной,11.8,lower
важности,9.4,lower
важность,8.9,lower
важную,12.5,lower
важны,7.9,lower
важные,18.7,lower
важный,19.4,lower
важным,25.1,lower
важными,5.1,lower
важных,21.4,lower
ВАЗ,6.4,upper
Вайс,19.2,upper
Вайса,5.7,upper
вакцинации,5.3,lower
вакцины,7.1,lower
вал,5.1,lower
валенки,6.0,lower
Валентин,19.3,upper
Валентина,31.4,upper
Валера,8.3,upper
Валерий,29.8,upper
Валерия,21.0,upper
Валька,9.3,upper
валюте,5.3,lower
валютного,5.0,lower
валюту,5.6,lower
валюты,9.2,lower
Валя,27.3,upper
валялись,6.7,lower
валялся,5.0,lower
вам,466.9,lower
Вам,92.7,upper
вами,108.9,lower
Вами,9.6,upper
Ван,6.3,upper
ван,5.5,lower
ванной,18.4,lower
ванну,6.5,lower
ванную,9.7,lower
ванны,6.2,lower
Ванька,10.3,upper
Ваня,19.1,upper
Варвара,21.8,upper
варенье,5.3,lower
вариант,56.4,lower
варианта,16.4,lower
вариантах,5.7,lower
варианте,13.9,lower
вариантов,23.7,lower
варианты,22.0,lower
варить,8.8,lower
Варя,13.3,upper
вас,564.9,lower
Вас,61.7,upper
Василий,54.5,upper
Василия,16.6,upper
Васильев,10.1,upper
Васильева,7.2,upper
Васильевич,32.2,upper
Васильевича,7.4,upper
Васильевна,16.8,upper
Васька,11.7,upper
Вася,35.3,upper
ваш,73.5,lower
Ваш,24.5,upper
ваша,42.1,lower
Ваша,13.9,upper
ваше,47.3,lower
Ваше,21.5,upper
вашего,43.5,lower
Вашего,6.9,upper
вашей,52.7,lower
Вашей,6.7,upper
вашем,19.9,lower
вашему,16.4,lower
ваши,56.0,lower
Ваши,15.3,upper
вашим,20.2,lower
вашими,5.3,lower
Вашингтон,8.8,upper
Вашингтона,5.3,upper
Вашингтоне,7.7,upper
ваших,33.7,lower
вашу,28.5,lower
вблизи,16.7,lower
вв,7.2,lower
введен,5.4,lower
введение,13.3,lower
Введение,6.6,upper
введении,8.0,lower
введения,16.5,lower
введены,5.0,lower
ввел,7.8,lower
ввели,7.4,lower
вверх,78.2,lower
вверху,5.4,lower
ввести,17.8,lower
ввиду,12.4,lower
ввода,6.7,lower
вводить,7.1,lower
ВВП,22.9,upper
ВВС,21.7,upper
вглубь,5.0,lower
вглядываясь,5.7,lower
ВГС,7.7,upper
вдали,15.3,lower
вдаль,7.5,lower
вдвое,18.1,lower
вдвоем,27.0,lower
вдобавок,7.5,lower
вдова,7.5,lower
вдоль,65.3,lower
Вдоль,5.6,upper
вдруг,455.1,lower
Вдруг,48.2,upper
ведение,8.6,lower
ведении,7.2,lower
ведения,20.0,lower
ведет,47.6,lower
ведется,15.3,lower
ведомств,14.3,lower
ведомства,14.8,lower
ведомство,7.0,lower
ведра,7.2,lower
ведро,14.9,lower
ведут,25.6,lower
ведутся,7.4,lower
ведущая,5.1,lower
ведущего,5.9,lower
ведущей,8.3,lower
ведущие,10.6,lower
ведущий,11.0,lower
ведущим,5.2,lower
ведущих,23.6,lower
ведь,500.7,lower
Ведь,211.5,upper
вежливо,21.2,lower
вежливости,5.0,lower
везде,42.5,lower
Везде,6.1,upper
везет,9.4,lower
везли,6.0,lower
везти,6.1,lower
везут,5.7,lower
век,41.7,lower
века,148.8,lower
веками,8.2,lower
веке,35.4,lower
веки,13.0,lower
веков,25.9,lower
веку,6.4,lower
вел,36.1,lower
вела,19.5,lower
велась,5.1,lower
велел,24.4,lower
велела,7.2,lower
вели,26.3,lower
велик,12.1,lower
велика,14.8,lower
великая,13.5,lower
Великая,7.6,upper
велики,5.3,lower
великие,12.6,lower
великий,34.1,lower
Великий,18.7,upper
великим,14.8,lower
великих,21.2,lower
велико,5.8,lower
Великобритании,16.7,upper
Великобритания,6.1,upper
великого,32.1,lower
Великого,17.5,upper
великое,14.9,lower
великой,22.9,lower
Великой,20.9,upper
великолепно,9.1,lower
великолепный,6.1,lower
великому,7.2,lower
великую,7.0,lower
велись,5.3,lower
величество,5.8,lower
величие,5.9,lower
величина,10.9,lower
величине,6.4,lower
величиной,7.9,lower
величину,8.3,lower
величины,16.8,lower
величия,5.6,lower
велосипед,8.2,lower
велосипеде,5.0,lower
Венгрии,7.0,upper
Вене,5.1,upper
вены,6.1,lower
Веня,8.5,upper
Вера,53.1,upper
вера,19.5,lower
веранде,5.4,lower
вере,11.6,lower
веревки,6.7,lower
веревку,7.7,lower
верил,27.0,lower
верила,8.3,lower
верили,11.5,lower
верит,18.7,lower
верите,7.3,lower
верится,5.2,lower
верить,40.3,lower
веришь,9.2,lower
вернее,33.0,lower
Вернее,14.0,upper
вернемся,13.0,lower
вернется,19.8,lower
верно,51.3,lower
Верно,13.2,upper
верности,8.6,lower
верность,9.8,lower
вернувшись,11.5,lower
Вернувшись,10.0,upper
вернул,9.8,lower
вернулась,32.7,lower
вернули,7.6,lower
вернулись,27.3,lower
вернулся,87.5,lower
Вернулся,6.9,upper
вернусь,12.2,lower
